,unit,plant,company,mw,status,year,utype,fuel,fueltype,altfuel,sssmfr,boiltype,turbmfr,turbtype,genmfr,gentype,sflow,spress,stype,stemp,reheat1,reheat2,partctl,partmfr,so2ctl,fgdmfr,noxctl,noxmfr,ae,construct,cool,retire,city,state,country,area,subregion,postcode,parent,electype,bustype,compid,locationid,unitid,retirement_age,mw_from,mw_to,fuel_id,fueltype_adj,utype_adj,status_adj,current_age,year_adj,current_age_adj,retirement_age_adj,sim_lifetime,median_lifetime,age_rank,age_obs,age_percentile,retire_adj,retire_exp,retire_sim,lifetime_final,unique_id,em_fact,heat_rate,gen_eff,max_cap,max_em
111485,SAILLAT MILL IP CHP 1,SAILLAT MILL IP CHP,COFELY,12.0,OPR,2007.0,ST/S,PWST,.,WOOD,,,,,,,,,SUBCR,,,,,,,,,,ELYO,ELYO,,,Saillat-sur-Vienne,Haute-Vienne,FRANCE,EUROPE,EU,,ENGIE,U,ENERGY: ESCO,1018538,1062590,1192458,,0,400,PWST+.,.,ST,Operating,9.0,2007.0,9.0,,1.0,0.0,2.5,15.0,16.6666660309,2017.0,2007.0,2008.0,10.0,.,206.7,9783.63964844,0.918114364147,105120000.0,96512.1796875
111501,SARAN VEOLIA WTE 1,SARAN VEOLIA,VEOLIA PROPRETE,6.76999998093,OPR,1995.0,ST/S,REF,.,NONE,VOL/LL,,THERMDYN,,,,9.39999961853,40.0,SUBCR,355.0,,,,,,,,,ITISA,ITISA,,,Saran,Loiret,FRANCE,EUROPE,EU,45770,VEOLIA ENVIRONNEMENT SA,P,SVCS: MUNI WTE,1025553,1061192,1190481,,0,400,REF+.,.,ST,Operating,21.0,1995.0,21.0,,11.0,14.0,591.0,878.0,67.3120727539,2022.0,2009.0,2006.0,27.0,.,213.2,10500.5878906,1.01638126373,59305200.0,60276.6953125
112700,KIRK SANDAL,KIRK SANDAL,BIOGEN POWER,12.0,PLN,,ST/S,REFGAS,.,NONE,,,,,,,,,SUBCR,,,,,,,,,,,,,,East Doncaster,Yorkshire,ENGLAND & WALES,EUROPE,EU,,BIOGEN POWER,P,SVCS: PRIV PWR DEV/PROD,1037646,1078605,1220376,,0,400,REFGAS+.,.,ST,Planned,,2023.0,,,32.0,34.0,,,,2055.0,2057.2734375,2055.2734375,32.0,.,5.1,9468.3984375,0.0219231303781,105120000.0,2304.55957031
112836,EWA BEACH GT 3,EWA BEACH,CHEVRON PRODUCTS CO INC,3.03299999237,OPR,1990.0,GT/S,RGAS,.,LPG,N/A,N/A,SOLAR,CENTAUR,,,,,.,,,,N/A,N/A,N/A,N/A,,,,BECHTEL,N/A,,Honolulu,HI,USA,N AMERICA,ZNONE,,CHEVRON CORP,A,FUELS: REFINERY,57678,16201,6454,,0,400,RGAS+.,.,GT,Operating,26.0,1990.0,26.0,,14.0,17.0,61.0,94.0,64.8936157227,2022.0,2007.0,2004.0,32.0,.,158.9,14230.2373047,1.02657783031,26569080.0,27275.2285156
112995,CHEMIEPARK BITTERFELD 1,CHEMIEPARK BITTERFELD,PD ENERGY GMBH,8.0,OPR,2010.0,ST/S,RPF,.,NONE,BAUM,,MAN,MARC4-C11,,,17.8999996185,41.0,SUBCR,395.0,,,,,,,,,,,AIR,,Bitterfeld,ST,GERMANY,EUROPE,EU,,PD ENERGY GMBH,A,SVCS: PRIV PWR DEV/PROD,1033243,1068238,1201117,,0,400,RPF+.,.,ST,Operating,6.0,2010.0,6.0,,45.0,34.0,1.0,2.0,50.0,2055.0,2044.0,2055.0,45.0,.,206.7,9763.37792969,0.916212975979,70080000.0,64208.2070312
112998,EESTI 08,EESTI,EESTI ENERGIA SA,210.0,RET,1973.0,ST,SHALE,.,NONE,TAGANROG,,LMZ,,ELSL,,,,SUBCR,,,,,,,,,,SILTUM,,OTS,,21004 Narva,Ida-Viru,ESTONIA,EUROPE,EU,,EESTI ENERGIA SA,U,UTIL: GOVT,1005764,1014066,1113318,,0,400,SHALE+.,.,ST,Retired,,1973.0,,,30.0,33.0,,,,2003.0,2006.0,2003.0,30.0,.,248.8,10748.2539062,1.21407115459,1839600000.0,2233405.25
113055,VEULES-LES-ROSES PV,VEULES-LES-ROSES,LEONIDAS ASSOCIATES GMBH,5.03000020981,OPR,2011.0,PV,SUN,.,NONE,N/A,N/A,,,,,,,.,,,,N/A,N/A,N/A,N/A,N/A,N/A,GEP,MARTIFER,N/A,,Veules-les-Roses,Seine-Maritime,FRANCE,EUROPE,EU,,LEONIDAS ASSOCIATES GMBH,P,SVCS: FIN,1041966,1089585,1239535,,0,400,SUN+.,.,OTHER_NO_COMBUSTION,Operating,5.0,2011.0,5.0,,42.0,34.0,4969.0,10316.0,48.1678962708,2053.0,2045.0,2053.0,42.0,.,0.0,0.0,0.0,44062800.0,0.0
125816,DUNKERQUE REFINERY 3,DUNKERQUE REFINERY,BP PLC,5.5,OPR,1951.0,ST,TGAS,.,RGAS,,,,BP,,,,60.0,SUBCR,450.0,,,,,,,,,,,,,Dunkerque Cedex l,Nord,FRANCE,EUROPE,EU,59381,BP PLC,A,FUELS: REFINERY,1021190,1011252,1112993,,0,400,TGAS+.,.,ST,Operating,65.0,1951.0,65.0,,40.0,44.0,5.5,6.0,91.6666641235,2025.0,1995.0,1991.0,74.0,.,158.9,14552.9238281,1.04985666275,48180000.0,50582.09375
125830,KEYES,KEYES,VISTA ENERGY TECHNOLOGIES INC,15.0,CAN,,ST,TIRES,.,,,,,,,,,,SUBCR,,,,,,,,,,,,,,Keyes,OK,USA,N AMERICA,SPP,,VISTA ENERGY INTERNATIONAL INC,P,MFG: EQUIPMENT,32120,50828,29951,,0,400,TIRES+.,.,ST,Cancelled,,1988.0,,,13.0,19.0,,,,2001.0,2007.0,2001.0,13.0,.,189.5,10398.2402344,0.894591808319,131400000.0,117549.367188
125851,ATHABASCA 1,ATHABASCA,ALBERTA-PACIFIC FOREST IND,35.0,CAN,,ST,TSAND,.,,MHI,,GE,,GE,,,,.,,,,,,,,,,SIMONS,,,,Athabasca,AB,CANADA,N AMERICA,WECC,,HOKUETSU KISHU PAPER CO LTD,A,MFG: PULP & PAPER,165,12732,838,,0,400,TSAND+.,.,ST,Cancelled,,1976.0,,,33.0,31.0,,,,2009.0,2007.0,2009.0,33.0,.,248.8,10989.9238281,1.24136900902,306600000.0,380603.75
125853,MOORSIDE 3,MOORSIDE,NUGENERATION LTD,1130.0,PLN,,ST,UR,.,NONE,TOSHIBA,AP1000,,,,,,,SUBCR,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,Sellafield,Cumbria,ENGLAND & WALES,EUROPE,EU,,TOSHIBA/GDF SUEZ,U,UTIL: IOU,1040041,1084673,1230467,,901,10000,UR+.,.,ST,Planned,,2021.0,,,22.0,27.0,,,,2043.0,2048.10375977,2043.10375977,22.0,.,0.0,9119.55566406,0.0,9898800128.0,0.0
127008,OAKVILLE ASSEMBLY FC 1,OAKVILLE ASSEMBLY,FORD MOTOR CO,0.300000011921,OPR,2008.0,FC,VOCGAS,.,,N/A,N/A,FCEL,DFC300MA,,,,,.,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,Oakville,ON,CANADA,N AMERICA,NPCC,,FORD MOTOR CO,A,MFG: UNSPEC,3605,57808,34547,,0,400,VOCGAS+.,.,OTHER_COMBUSTION,Operating,8.0,2008.0,8.0,,28.0,34.0,1.0,1.0,100.0,2036.0,2042.0,2036.0,28.0,.,158.9,,,2628000.0,
127009,WALKER MILL 1RP,WALKER MILL,ASILEA ENTERPRISE CORP,0.75,PLN,2017.0,HY,WAT,.,,,,,,,,,,.,,,,,,,,,,,,,,Schuyler,VA,USA,N AMERICA,SERC,,ASILEA ENTERPRISE CORP,P,SVCS: PRIV PWR DEV/PROD,58086,56196,44393,,0,400,WAT+.,.,OTHER_NO_COMBUSTION,Planned,,2020.0,,,57.0,63.5,,,,2077.0,2084.17626953,2077.67626953,57.0,.,0.0,0.0,0.0,6570000.0,0.0
187005,LA MAGDALENA WTG 1-28,LA MAGDALENA,IBERDROLA RENOVABLES,23.7999992371,OPR,2004.0,WTG,WIND,HAWT,NONE,N/A,N/A,GAMESA,G52/850,,,,,.,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,Merindad de Valdeporres,Burgos,SPAIN,EUROPE,EU,,IBERDROLA SA,P,SVCS: PRIV PWR DEV/PROD,1024100,1062614,1192492,,0,400,WIND+HAWT,HAWT,OTHER_NO_COMBUSTION,Operating,12.0,2004.0,12.0,,14.0,13.0,8390.0,15278.0,54.9155654907,2018.0,2017.0,2018.0,14.0,.,0.0,0.0,0.0,208488000.0,0.0
206127,CABANO MILL,CABANO MILL,BORALEX INC,22.0,CAN,,ST/S,WOOD,.,,,,,,,,,,SUBCR,,,,,,,,,,,,,,Cabano,QC,CANADA,N AMERICA,NPCC,,CASCADES INC,P,MFG: PULP & PAPER,26760,45736,24727,,0,400,WOOD+.,.,ST,Cancelled,,2013.0,,,34.0,32.5,,,,2047.0,2045.5,2047.0,34.0,.,68.5,9712.17773438,0.302039027214,192720000.0,58208.9609375
207766,BLACKBURN LANDFILL IC 4,BLACKBURN LANDFILL,CATAWBA COUNTY UTILS & ENGRG,1.0,PLN,,IC,WOODGAS,.,,N/A,N/A,JENBACH,JGC320GSLL,,,,,.,,,,N/A,N/A,N/A,N/A,,,,,N/A,,Newton,NC,USA,N AMERICA,SERC,28658,CATAWBA COUNTY UTILS & ENGRG,A,GOVT: REG-MUNI,1540,15719,38439,,0,400,WOODGAS+.,.,IC,Planned,,2022.0,,,40.0,34.0,,,,2062.0,2056.17578125,2062.17578125,40.0,.,91.9,9556.88867188,0.398738235235,8760000.0,3492.94702148
207913,NORANDA SMELTER 1,NORANDA SMELTER,FALCONBRIDGE LTD,2.59999990463,OPR,1934.0,ST/S,WSTGAS,.,NONE,INGLIS,,PARSONS,,PARSONS,,44.0,11.0,SUBCR,274.0,,,,,,,,,,,,,Noranda,QC,CANADA,N AMERICA,NPCC,J9X 5B6,XSTRATA PLC,A,MFG: METALS & MINING,7027,28002,14876,,0,400,WSTGAS+.,.,ST,Operating,82.0,1934.0,82.0,,27.0,34.0,33.0,34.0,97.0588226318,2025.0,1968.0,1961.0,91.0,.,138.2,11095.6044922,0.696169316769,22776000.0,15855.9521484
208014,QISHUYAN HAO-2B SC 1,QISHUYAN HAO,CHINA HUADIAN GROUP CORP,60.0,OPR,2011.0,ST/C,WSTH,.,,HANGZHOU,HRSG,DONGFANG,D78B,DONGFANG,,58.2999992371,40.0,SUBCR,515.0,,,N/A,N/A,N/A,N/A,,,,,,,Qishuyan Dist - Changzhou City,Jiangsu,CHINA,ASIA,ASIA,,CHINA HUADIAN GROUP CORP,U,UTIL: GOVT,1027973,1075101,1239591,,0,400,WSTH+.,.,ST,Operating,5.0,2011.0,5.0,,22.0,18.0,490.0,2737.0,17.9028129578,2033.0,2029.0,2033.0,22.0,.,0.0,9771.33300781,0.0,525600000.0,0.0
211926,NORTHERN WWTP,NORTHERN WWTP,SUE VODOKANAL OF ST PETERSBURG,3.0,CAN,,ST,WSTWSL,.,,,ACFB,,,,,,,SUBCR,,,,,,ACFB,N/A,,,MOTT,,,,St Petersburg,Leningrad Oblast,RUSSIA,CIS,CIS,,SUE VODOKANAL OF ST PETERSBURG,A,UTIL OTHER: WATER,1030259,1061508,1190910,,0,400,WSTWSL+.,.,ST,Cancelled,,1968.0,,,32.0,37.0,,,,2000.0,2005.0,2000.0,32.0,.,91.9,10716.6464844,0.447126358747,26280000.0,11750.4804688
